idx,query,text,negative_score,neutral_score,positive_score,compound_score
0,cops,Auditor Won't Take These Cops' Attitudes and Unlawful Orders!  via @YouTube,0.0,1.0,0.0,0.0
1,cops,See what rogue cops from Kamukunji Police Station were caught doing in Ongata Rongai - The Kenyan police force is rotten  ,0.148,0.852,0.0,-0.5106
2,cops,Purse snatcher punches -year-old woman down stairs: cops ,0.0,1.0,0.0,0.0
3,cops,Nothing funnier than fucking Wisconsin morons with thin blue line Punisher logos on their trucks like bro he kills cops in canon ,0.366,0.553,0.081,-0.8288
4,cops,This is why we hate all cops. Absolutely trash people right there ,0.252,0.748,0.0,-0.5719
5,cops,I cant do no interviews cause the cops on my ass,0.261,0.598,0.141,-0.3843
6,cops,bout to self juice dont call the juice cops,0.0,1.0,0.0,0.0
7,cops,since hes on my tl rn yall remember when drm fans dxxed a black person and called the cops on op and he still defended his stans,0.0,1.0,0.0,0.0
8,cops,Heres what happens when cops pull over a driverless Cruise vehicle ,0.0,1.0,0.0,0.0
9,cops,eve called the cops on her WTF,0.43,0.57,0.0,-0.6739
10,cops,I encountered an anti vaxee irl that threatened and wished death in me and other patients at the doctors office I was in we all yelled at her to stfu and the cops took her away  shit like this happens irl but people say it's fake because we're not creeps with a camera out / ,0.212,0.759,0.03,-0.8689
11,cops,I-Team: Congressional Candidate to cops serving no-knock warrant: I'll ...  via @YouTube,0.0,1.0,0.0,0.0
12,cops,Heres what happens when cops pull over a driverless Cruise vehicle - ,0.0,1.0,0.0,0.0
13,cops,This was hilarious  Jimmy Kimmel Reports 'Sweet Little Snowflake' Marjorie Taylor Greene to Batman After Her Cops Threat  SmartNews,0.135,0.637,0.227,0.3182
14,cops,In Jojo all the cops are scum. One is such scum he joins the actual fucking mafia. It's a good thing he's fictional and has that face....and that voice....or I'd wanna yeet him into the sun. :),0.0,0.847,0.153,0.7322
15,cops,please. stop praying for eichi!!!! you are making him too strong. he broke out of the hospital and the cops cant get him. hes too powerful,0.135,0.54,0.326,0.7946
16,cops,A$$hole cops protecting Coal Baron Joe Manchins financial interests. @jcmulloy appears briefly. ManchinBlockade @WV_Rising @NoCoalNoGas @Mass @NorthShore ,0.0,0.889,0.111,0.25
17,cops,my dreams are so swag i just had a dream that me and my bf ran over some random ass girl and we were running from the cops,0.112,0.737,0.151,0.0516
18,cops,Yeah it's giving. Go follow @NailsByJill__ bc on god if no one cops this design bitch I WILL. ,0.243,0.486,0.271,-0.0772
19,cops,wholesome story! working on a song right now about our brave cops and military! ,0.0,0.751,0.249,0.6103
20,cops,The cops the cops ,0.0,1.0,0.0,0.0
21,cops,im a typical punk but im dayglo abortions really..... its juust folklore like i said you know........ a cops worst nightmare,0.227,0.643,0.131,-0.5267
22,cops,Kdrama lovers y'all should see ROOKIE COPS. Owà veryyyyyyy interesting,0.0,0.567,0.433,0.7269
23,cops,Heres what happens when cops pull over a driverless Cruise vehicle,0.0,1.0,0.0,0.0
24,cops,THE COPS ARE COMING!,0.0,1.0,0.0,0.0
25,cops,Head-on crash shuts down Route  in Hancock ,0.31,0.69,0.0,-0.4019
26,cops,'Hes twittering the cops.' ,0.0,1.0,0.0,0.0
27,cops,Jeffrey M. Selchick saw the same video we all did and still clear these cops after they almost killed  year old Martin Gugino … SMDH ,0.146,0.764,0.09,-0.3832
28,cops,I want my Country back! We should make it a crime for any government official to be associated with  trumps GOP Nazis KKK Fascism White Supremist  Racist  Bad Cops Maga'  Proud Boys  Confederates any hate group!  ,0.321,0.587,0.092,-0.9167
29,cops,STEVES COMPANY HEISTERS  D@D construction theives   SW TH ST ALBERT URESTI HECTOR CUELLAR  HENRY CUELLAR who are not cops  ALEX GARCIA  EDDIE FERDANEZ  ALBERT OLIVARES  JOE LOPEZ  KEVIN BROWN  ARTURO PEREZ  MANUEL TORESS SR AND MANUEL TORESS JR AT  MARBAUCH AVE ,0.0,1.0,0.0,0.0
30,cops,There Will Be No Indictment For The Cops Who Killed This Man  via @YouTube,0.358,0.642,0.0,-0.7717
31,cops,Good point. Firefighters are “firefighters” or “firemen” cops are “cops” or “police officers” nurses are “nurses” or “RNs”. We are  different names. ,0.0,0.879,0.121,0.4404
32,cops,Transformative Justice is not just replacing the cops. Its a completely different worldview. ,0.0,0.764,0.236,0.5267
33,cops,overzealous cops are the worst,0.506,0.494,0.0,-0.6249
34,cops,Goose flies into motorcyclists head causing deadly crash in Pennsylvania cops say  via @Yahoo,0.172,0.828,0.0,-0.4019
35,cops,Look I get texting and driving is bad but yet cops over here checking their computers while driving. Ha. ,0.105,0.749,0.145,0.2144
36,cops,There will be no cops at pride this year. All but one of the @ABQ_Pride  board members voted to not allow @ABQPOLICE  in the Pride Parade or at Pride Fest . Do you agree with this decision?,0.08,0.67,0.249,0.8201
37,cops,New Post: Oklahoma Thieves Impersonate Cops and Raid Several Pot Farms ,0.248,0.752,0.0,-0.5106
38,cops,In June  Buffalo cops were caught on camera gratuitously pushing a -year-old protester to the ground fracturing his skull. Two years later let's check in on what's happened to those cops. It shows how our hierarchy of consequences for police misconduct is all screwed up.,0.069,0.931,0.0,-0.4939
